the_geom,GEOID20,COUNCIL_DI,Total Population 2020,Total Hispanic Pop 2020,Total NH White 2020,Total NH Black 2020,Total NH AM Indian AK Native 2020,Total NH Asian 2020,Total NH Native Hawaiian 2020,Total NH Other Races 2020,Total NH Two or More Races 2020,Total Housing Units 2020,Occupied Housing Units 2020,Vacant Housing Units 2020,GEOID20_1,Total City Sponsored Affordable Units,Total Citywide Affordable Units,TRACTCE10,GEOID10,NAME10,GeoIDNum,GEOID_1,GEOID1,NAME_1,GENTRIFICATION Typology,VULNERABLE Pop,DEMOGRAPHIC Change,HOUSING_MARKET,DISPLACEMENT RISK,DESCRIPTION,FIPS,Geographic,Total_Population_2019,White (Not Hispanic)_2019,POC%_2019,White (Not Hispanic)%_2019,Population 25 and older_2019,Education: Less than HS_2019,Education: HS Graduate_2019,Education: Some College_2019,Education: Bachelors_2019,Percent without Bachelors_2019,Percent with Bachelors_2019,Pop under 18 for whom poverty is determined_2019,Population below poverty_2019,Percent Child Poverty_2019,Occupied Housing Units_2019,Owner Occupied Housing Units_2019,Renter Occupied Housing Units_2019,Percent Renter Occupied Units_2019,Percent Owner Occupied Units_2019,Sum of Lowmoduniverse_2019,Sum of Lowmod_2019,Percent Lowmod_2019,Median Family Income_2019,Median Home Value_2019,Median Gross Rent_2019,Quadrant_2019,Percent severely rent burdened_2019
"MULTIPOLYGON (((-97.71111561767364 30.25663321429951, -97.71151261740832 30.25571221369678, -97.7117246175291 30.25563921459386, -97.71205061834165 30.255775213916856, -97.71206861799398 30.255850214370756, -97.71183661773814 30.256315214571234, -97.71161761759315 30.256803215065272, -97.71111561767364 30.25663321429951)))",484530009023000,3,23,14,9,0,0,0,0,0,0,12,12,0,484530009023000,0,0,000902,48453000902,9.02,48453000902,48453000902,48453000902,East Austin,Late,YES,YES,Appreciated,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453000902,14000US48453000902,5581,2055,0.61,0.368213581795,4495,785,962,703,2045,0.55,0.45,833,384,0.46,2746,900,1846,0.67,0.33,4995,3655,0.73,51626,348600,1215,East,0.17
"MULTIPOLYGON (((-97.68723961754371 30.371724238470545, -97.68631361697986 30.371252238323507, -97.68680661681493 30.370480237371897, -97.68820461668957 30.371150238032236, -97.68825361700239 30.371168238080763, -97.68829661735961 30.371165237457607, -97.68832061742006 30.37115323833578, -97.68834561690537 30.371140238350844, -97.68837761765084 30.371111237765067, -97.68842461737087 30.371037238222222, -97.68845661830854 30.370948237216503, -97.6884716179118 30.370856238123583, -97.68847161771676 30.370752236996502, -97.68840461686608 30.370134237178906, -97.68946861832703 30.370053237760214, -97.68965861781143 30.3700612380263, -97.68979561828348 30.37007123719397, -97.68993361762202 30.37010523782408, -97.6900746186404 30.370147237288066, -97.6912446181696 30.370649237912993, -97.69245661774818 30.37117523779587, -97.69161961799773 30.37267023831378, -97.69115661771372 30.373473238595498, -97.69103061870838 30.37347223851059, -97.69095161825835 30.37346523758688, -97.69089461862588 30.373453237807855, -97.69079861809199 30.37342323833541, -97.69008861802972 30.3730872387992, -97.68723961754371 30.371724238470545)))",484530410003000,4,693,499,57,111,0,21,0,0,5,317,312,5,484530410003000,0,104,001823,48453001823,18.23,48453001823,48453001823,48453001823,North Lamar,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453001823,14000US48453001823,7254,698,0.92,0.0962227736421,4581,1909,1188,1078,406,0.91,0.09,2114,633,0.30,2332,501,1831,0.79,0.21,7645,6385,0.84,40417,167700,1117,North,0.31
"MULTIPOLYGON (((-97.68609161242469 30.27635421970678, -97.68656761168276 30.275612219320244, -97.68672761239556 30.275696219640803, -97.68696761231685 30.275802219068957, -97.68722361286001 30.27594621896089, -97.68735561211213 30.276016218654647, -97.68744461182632 30.27609221891351, -97.68750161360157 30.27615721927354, -97.68753861275059 30.276211219304663, -97.68760261200643 30.276327218877654, -97.6876656124805 30.27648421873843, -97.68773461341588 30.276637218699218, -97.68720761265698 30.276918219455947, -97.68705461246266 30.276818219453578, -97.68678361195256 30.276682219227514, -97.68641461166942 30.27651521961214, -97.68609161242469 30.27635421970678)))",484530021103003,1,27,11,5,5,0,6,0,0,0,12,6,6,484530021103003,0,0,002110,48453002110,21.10,48453002110,48453002110,48453002110,East Boggy Creek,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002110,14000US48453002110,4221,1007,0.81,0.238569059465,3102,850,865,522,865,0.72,0.28,750,215,0.29,1366,745,621,0.45,0.55,4365,2960,0.68,42538,260400,1246,East,0.31
"MULTIPOLYGON (((-97.74721562349504 30.17585819724733, -97.74727662249332 30.175758196735696, -97.74735762287273 30.175418197809304, -97.74739362260327 30.175249196989267, -97.74746862323063 30.175113197318566, -97.74870362247474 30.17572619777354, -97.74936162274678 30.176069196892133, -97.7493956233878 30.176087197180234, -97.74933162355606 30.17612619720278, -97.74878962288138 30.17664719809744, -97.74721562349504 30.17585819724733)))",484530024301003,2,0,0,0,0,0,0,0,0,0,0,0,0,484530024301003,0,0,002430,48453002430,24.30,48453002430,48453002430,48453002430,Yarabee Bend,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002430,14000US48453002430,2593,522,0.00,0.201311222522,1604,266,655,404,279,0.83,0.17,689,105,0.15,781,530,251,0.32,0.68,3480,2625,0.75,53889,104200,1186,Southeast,0.24
"MULTIPOLYGON (((-97.73455162383642 30.265741215273025, -97.73506562439754 30.264339215086416, -97.73516162467828 30.264079214465163, -97.73520962397158 30.263948214771712, -97.73521762452152 30.263926214568244, -97.73526262391587 30.263806214943603, -97.73526862375151 30.263787215062806, -97.73557062391704 30.26295721527914, -97.73589262351453 30.262075214144616, -97.73623062461137 30.261149214584343, -97.73634262427029 30.26119021514791, -97.73656062460977 30.261212214060308, -97.73652462438788 30.261322214428613, -97.7364738226982 30.26143242100131, -97.73627662321464 30.26186021454393, -97.73575462420743 30.262961215588756, -97.73557362357599 30.263405215153593, -97.7355076245672 30.263592214835985, -97.73543362479177 30.26380121560587, -97.7354196233827 30.263850214955067, -97.73539162428281 30.263945215241286, -97.73538562376875 30.263967215403085, -97.73533862487369 30.26412621528205, -97.73529562455766 30.26427421455859, -97.73507462359026 30.264866215011672, -97.73472962368123 30.265797215467156, -97.73455162383642 30.265741215273025)))",484530009024011,3,0,0,0,0,0,0,0,0,0,0,0,0,484530009024011,0,0,000902,48453000902,9.02,48453000902,48453000902,48453000902,East Austin,Late,YES,YES,Appreciated,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453000902,14000US48453000902,5581,2055,0.00,0.368213581795,4495,785,962,703,2045,0.55,0.45,833,384,0.46,2746,900,1846,0.67,0.33,4995,3655,0.73,51626,348600,1215,East,0.17
"MULTIPOLYGON (((-97.73135562646691 30.33128922805314, -97.73160062617583 30.330876228198406, -97.73217008289117 30.33115150131473, -97.732235841815 30.331183288683064, -97.73232901336536 30.33122832723566, -97.7324136273121 30.33126922811399, -97.73457462728081 30.332311228866747, -97.734310626635 30.33268722826289, -97.73135562646691 30.33128922805314)))",484530015051022,7,10,9,1,0,0,0,0,0,0,3,3,0,484530015051022,0,0,001505,48453001505,15.05,48453001505,48453001505,48453001505,Brentwood North,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453001505,14000US48453001505,4781,3942,0.90,0.824513700063,3741,68,258,985,2430,0.35,0.65,798,16,0.02,2371,1029,1342,0.57,0.43,4230,1515,0.36,106799,425500,1257,North,0.14
"MULTIPOLYGON (((-97.71251861872585 30.276995218136218, -97.7134316193023 30.27683821875113, -97.7136426193165 30.277824218939706, -97.7127346198198 30.277946218261178, -97.71251861872585 30.276995218136218)))",484530008031026,1,20,10,6,1,0,0,0,0,3,10,1,9,484530008031026,0,0,000803,48453000803,8.03,48453000803,48453000803,48453000803,Chestnut,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453000803,14000US48453000803,2941,1766,0.70,0.600476028562,2413,159,317,487,1450,0.40,0.60,243,28,0.12,1107,566,541,0.49,0.51,2220,1335,0.60,113875,466100,1543,East,0.14
"MULTIPOLYGON (((-97.77004263144835 30.230633206895945, -97.77168463151268 30.22806720706932, -97.77414363179695 30.229241207205177, -97.7725176311588 30.231791207482523, -97.77154363132921 30.231293207631005, -97.77147163193904 30.231256207498454, -97.7712426304794 30.23113920790329, -97.77004263144835 30.230633206895945)))",484530013071007,3,195,49,123,2,3,3,0,0,15,114,114,0,484530013071007,12,12,001307,48453001307,13.07,48453001307,48453001307,48453001307,Galindo,Late,YES,YES,Appreciated,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453001307,14000US48453001307,3726,2007,0.37,0.538647342995,2883,133,327,545,1878,0.35,0.65,582,315,0.54,1915,787,1128,0.59,0.41,3690,2025,0.55,84574,464700,1166,South,0.17
"MULTIPOLYGON (((-97.76573062996275 30.22485120640439, -97.7652436297394 30.224506207082484, -97.76499062921327 30.224347206404854, -97.76473962918747 30.224177207078032, -97.76449462838333 30.224004205496023, -97.76421562946001 30.223814206337636, -97.7636056291741 30.223414206507936, -97.76380162880699 30.223107205367008, -97.7638456295689 30.223039206644476, -97.76404362964394 30.223155206419293, -97.76441262961794 30.22337320604041, -97.76475862922557 30.223600206068717, -97.76490962909017 30.223700206402047, -97.76567162961082 30.224206206338497, -97.76600862933304 30.224447206245657, -97.76673962993063 30.22494320657681, -97.76711763038193 30.225214205685973, -97.7672796299471 30.225331206044608, -97.76823263082521 30.22596320643803, -97.7684276310434 30.22609120606768, -97.76857763057558 30.226182206396704, -97.76872163092649 30.22627820716213, -97.76882762999536 30.226338207123174, -97.76916863092742 30.226566206460586, -97.7692866305791 30.22664520670559, -97.76935563061362 30.22671220663271, -97.76924863125768 30.2268852066455, -97.7679576307376 30.226293206982287, -97.76769763035516 30.226148205762982, -97.76704063041781 30.22573820651916, -97.76603662964536 30.225050206388097, -97.76573062996275 30.22485120640439)))",484530013081008,3,0,0,0,0,0,0,0,0,0,0,0,0,484530013081008,0,0,001308,48453001308,13.08,48453001308,48453001308,48453001308,Dawson,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453001308,14000US48453001308,3054,2040,0.00,0.667976424361,2559,118,345,565,1531,0.40,0.60,225,0,0.00,1666,534,1132,0.68,0.32,2780,1550,0.56,94659,370200,1426,South,0.16
"MULTIPOLYGON (((-97.69812261319323 30.224701209403527, -97.69819061255127 30.22462120869814, -97.69830561224452 30.224519208430987, -97.69842861250164 30.224437208957458, -97.69855061344407 30.224369208576103, -97.69867961216353 30.224298208260247, -97.69881961269692 30.22423020884665, -97.69895561286201 30.22416520851423, -97.69904661322722 30.224101208075595, -97.69911161265158 30.224053208292833, -97.69921661324184 30.223965208130615, -97.69931361351647 30.223874208174966, -97.7007836128024 30.224499208780756, -97.69992561326325 30.22567220902126, -97.69812261319323 30.224701209403527)))",484530023213013,3,23,13,5,2,0,0,0,1,2,12,12,0,484530023213013,0,0,002312,48453002312,23.12,48453002312,48453002312,48453002312,Montopolis,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002312,14000US48453002312,8590,1731,0.78,0.20151338766,5109,1902,1484,803,920,0.82,0.18,2654,807,0.30,2676,1080,1596,0.60,0.40,7480,6155,0.82,36653,155500,1158,Southeast,0.32
"MULTIPOLYGON (((-97.71870562243826 30.317912226704777, -97.71942362247351 30.316876226178216, -97.72029162271299 30.317271226063905, -97.71960662237116 30.318341226080808, -97.71870562243826 30.317912226704777)))",484530015031031,4,27,4,18,0,1,3,0,0,1,14,14,0,484530015031031,0,0,001503,48453001503,15.03,48453001503,48453001503,48453001503,Highland South,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453001503,14000US48453001503,4390,2577,0.33,0.58701594533,3448,259,417,684,2088,0.39,0.61,469,69,0.15,1974,694,1280,0.65,0.35,3985,2175,0.55,88006,338300,1319,North,0.26
"MULTIPOLYGON (((-97.685472614061 30.31196322639297, -97.68544461381329 30.31186322656291, -97.6854166137307 30.311807226453748, -97.68536361411788 30.311734226613634, -97.68527661447202 30.3116422264468, -97.68530161315743 30.311591226514413, -97.6853356138732 30.31146322690575, -97.68534961373064 30.311390225939626, -97.68536361377305 30.31126722639808, -97.68537161434101 30.3111952258384, -97.6853886136633 30.311145226494045, -97.6854336140625 30.311036226674865, -97.68550861386764 30.310916225984936, -97.68560361405328 30.310801226842138, -97.68578261426634 30.310635226263205, -97.68592461327297 30.310369226628502, -97.68607761409676 30.30959122615025, -97.68624861428543 30.309136226014754, -97.68640661408871 30.308801225761325, -97.68710661436398 30.309392225966327, -97.68700661393038 30.30954522573836, -97.68693761420181 30.30973722544225, -97.68686561391895 30.310172225880727, -97.68686561379592 30.3103672264863, -97.68689661464171 30.31051822583474, -97.68697861354342 30.31077522634976, -97.68702061421926 30.310936226151092, -97.68704261415566 30.31107622673111, -97.68717361386727 30.312360226560838, -97.68700761486109 30.312351225964104, -97.68678161415727 30.31232122663213, -97.68655261386697 30.312273226154986, -97.68642961400141 30.312240226580908, -97.6862736135749 30.312187226930835, -97.68613361471479 30.31212222685536, -97.6860026137047 30.312064226125788, -97.68592161411601 30.31203022645671, -97.68584361478747 30.312002226194135, -97.68574861371177 30.311983226739244, -97.68559561375326 30.31196622630462, -97.685472614061 30.31196322639297)))",484530021061004,1,76,18,45,6,0,0,0,7,0,35,24,11,484530021061004,0,0,002106,48453002106,21.06,48453002106,48453002106,48453002106,Windsor Park East,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453002106,14000US48453002106,3087,1237,0.41,0.400712666019,2306,238,318,603,1147,0.50,0.50,597,111,0.19,1157,815,342,0.30,0.70,3000,1615,0.54,106942,349300,1311,Northeast,0.18
"MULTIPOLYGON (((-97.77731863190779 30.219107204818073, -97.77855563248583 30.2172362037289, -97.77874463268392 30.217449204698564, -97.77930663301007 30.21769720456037, -97.77873163225802 30.218684204374693, -97.77871863232484 30.218752204619285, -97.77872163228245 30.21879320503666, -97.77874663296566 30.218852205479244, -97.77878063299306 30.21891020517627, -97.77881063277182 30.218944205171788, -97.7788626332692 30.219005205016632, -97.77825463277247 30.21953220487063, -97.77731863190779 30.219107204818073)))",484530020031012,3,44,9,32,3,0,0,0,0,0,22,22,0,484530020031012,0,0,002003,48453002003,20.03,48453002003,48453002003,48453002003,West Congress,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002003,14000US48453002003,4175,1796,0.27,0.430179640719,2802,361,571,1020,850,0.70,0.30,977,128,0.13,1538,630,908,0.59,0.41,4115,2535,0.62,46774,275100,984,South,0.28
"MULTIPOLYGON (((-97.74320262214675 30.19852120230567, -97.74325862294337 30.198466201689385, -97.74365562252657 30.197756201326865, -97.74379462265551 30.1975092017376, -97.74394762235744 30.19725020163551, -97.74407962276364 30.197083202102377, -97.74413662212753 30.19700620162203, -97.7441756228138 30.197030201981683, -97.74420862313603 30.19704720158304, -97.74392462304456 30.197448201736936, -97.74384862296853 30.197662202157453, -97.74362862260061 30.198074201589794, -97.74341062360146 30.19841620183281, -97.74330962289244 30.198572201222422, -97.7432716233284 30.198554201540624, -97.74320262214675 30.19852120230567)))",484530024111025,2,0,0,0,0,0,0,0,0,0,0,0,0,484530024111025,0,0,002411,48453002411,24.11,48453002411,48453002411,48453002411,Franklin Park West,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002411,14000US48453002411,7419,711,0.00,0.0958350181965,4270,1686,1386,800,398,0.91,0.09,2232,772,0.35,1985,792,1193,0.60,0.40,6715,5135,0.76,41448,112200,1189,Southeast,0.33
"MULTIPOLYGON (((-97.71241261658227 30.23135120950486, -97.71270861704764 30.23202020975748, -97.71149161616214 30.232177209418797, -97.71116261619375 30.232131209832286, -97.71108861609599 30.231558209972135, -97.71192961666618 30.23147120955373, -97.71241261658227 30.23135120950486)))",484530023251002,3,28,13,8,2,0,4,0,0,1,16,16,0,484530023251002,0,0,002318,48453002318,23.18,48453002318,48453002318,48453002318,Pleasant Valley South,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002318,14000US48453002318,7215,1299,0.71,0.180041580042,3824,932,754,1138,1000,0.74,0.26,1492,158,0.11,2682,609,2073,0.77,0.23,10290,8985,0.87,54661,207500,924,Southeast,0.23
